antecedents,consequents,support,confidence,lift
"fbs=False, sex=Male, thal=reversable defect",cp=asymptomatic,0.1011,0.7154,1.3269
"age=40-50, fbs=False",dp=mild,0.1326,0.6703,1.3262
"age=50-60, exang=False, fbs=False",hr=high,0.1054,0.6382,1.3223
slope=upsloping,exang=False,0.1674,0.7586,1.3218
"fbs=False, slope=upsloping",exang=False,0.1261,0.7582,1.3211
"bp=prehyper, exang=False, sex=Male",hr=high,0.1239,0.6369,1.3196
"fbs=False, hr=high, sex=Male",exang=False,0.2,0.7572,1.3194
"age=50-60, slope=flat",cp=asymptomatic,0.1174,0.7105,1.3179
"fbs=False, thal=reversable defect",cp=asymptomatic,0.112,0.7103,1.3176
"dp=moderate, slope=flat",cp=asymptomatic,0.1043,0.7059,1.3093
"bp=prehyper, dp=mild, sex=Male",hr=high,0.1098,0.6313,1.308
"fbs=False, hr=medium","cp=asymptomatic, sex=Male",0.1685,0.6055,1.3076
"age=50-60, slope=flat","cp=asymptomatic, sex=Male",0.1,0.6053,1.3071
"bp=prehyper, hr=medium","cp=asymptomatic, sex=Male",0.1011,0.6039,1.3042
"chol=high, hr=high",dp=mild,0.1402,0.6582,1.3022
"age=50-60, dp=mild, exang=False",hr=high,0.1011,0.6284,1.302
slope=flat,cp=asymptomatic,0.263,0.7014,1.3011
"age=50-60, hr=medium",cp=asymptomatic,0.1174,0.7013,1.3008
"bp=prehyper, hr=medium",cp=asymptomatic,0.1174,0.7013,1.3008
"age=50-60, fbs=False, hr=high",exang=False,0.1054,0.7462,1.3001
"ca=0.0, fbs=False",exang=False,0.1304,0.7453,1.2987
age=40-50,dp=mild,0.1511,0.6557,1.2972
slope=upsloping,dp=mild,0.1446,0.6552,1.2963
"hr=high, sex=Male",exang=False,0.2543,0.7405,1.2903
ca=0.0,exang=False,0.1457,0.7403,1.29
hr=medium,cp=asymptomatic,0.2641,0.6943,1.2878
"bp=hyper, exang=False",dp=mild,0.1141,0.6481,1.2824
"age=60-70, sex=Male",cp=asymptomatic,0.1337,0.691,1.2817
"exang=False, sex=Male",hr=high,0.2543,0.6174,1.2793
"bp=hyper, exang=False",hr=high,0.1087,0.6173,1.2791
"fbs=False, sex=Female",dp=mild,0.1152,0.6463,1.2788
"fbs=False, slope=flat",cp=asymptomatic,0.2,0.6891,1.2782
"ca=0.0, fbs=False",dp=mild,0.113,0.646,1.278
"exang=False, hr=medium",dp=mild,0.1109,0.6456,1.2773
"age=50-60, hr=high",exang=False,0.137,0.7326,1.2764
hr=high,dp=mild,0.3109,0.6441,1.2744
dp=mild,hr=high,0.3109,0.6151,1.2744
"age=50-60, exang=False",hr=high,0.137,0.6146,1.2736
"chol=high, hr=high",exang=False,0.1554,0.7296,1.2713
dp=moderate,cp=asymptomatic,0.1522,0.6829,1.2667
sex=Female,dp=mild,0.1348,0.6392,1.2646
"age=40-50, fbs=False",hr=high,0.1207,0.6099,1.2637
"fbs=False, hr=medium",cp=asymptomatic,0.1891,0.6797,1.2607
"chol=normal, exang=False",dp=mild,0.1196,0.6358,1.258
"sex=Male, slope=upsloping",exang=False,0.1141,0.7192,1.2531
"dp=mild, fbs=False, sex=Male",hr=high,0.1793,0.6044,1.2524
"cp=asymptomatic, exang=False, sex=Male",dp=mild,0.1076,0.6306,1.2476
cp=non-anginal,exang=False,0.1587,0.7157,1.247
"bp=hyper, dp=mild",exang=False,0.1141,0.7143,1.2446
"chol=high, hr=high, sex=Male",exang=False,0.1033,0.7143,1.2446
"cp=non-anginal, fbs=False",exang=False,0.1217,0.7134,1.243
"age=50-60, hr=high",dp=mild,0.1174,0.6279,1.2423
"ca=0.0, dp=mild",fbs=False,0.113,0.9286,1.2345
"hr=high, sex=Male",dp=mild,0.2141,0.6234,1.2334
"age=60-70, fbs=False",cp=asymptomatic,0.1054,0.6644,1.2323
"age=40-50, dp=mild, no_disease",fbs=False,0.1065,0.9245,1.2291
age=60-70,cp=asymptomatic,0.1598,0.6622,1.2282
"age=40-50, fbs=False",exang=False,0.1391,0.7033,1.2254
"age=40-50, no_disease",fbs=False,0.1272,0.9213,1.2248
ca=0.0,dp=mild,0.1217,0.6188,1.2243
"cp=asymptomatic, exang=False",dp=mild,0.1304,0.6186,1.2238
"cp=non-anginal, fbs=False",dp=mild,0.1054,0.6178,1.2224
"age=40-50, exang=False, no_disease",fbs=False,0.1098,0.9182,1.2207
"age=40-50, sex=Male",dp=mild,0.1065,0.6164,1.2194
age=40-50,exang=False,0.1609,0.6981,1.2164
bp=normal,exang=False,0.1228,0.6975,1.2154
"ca=0.0, thal=normal",fbs=False,0.1141,0.913,1.2139
"bp=prehyper, slope=flat",cp=asymptomatic,0.1109,0.6538,1.2128
"chol=normal, unknown",sex=Male,0.1163,0.9554,1.2106
"exang=True, fbs=False, unknown",sex=Male,0.1022,0.9495,1.2032
"exang=False, no_disease, sex=Female",fbs=False,0.1239,0.9048,1.2029
"dp=mild, hr=medium",exang=False,0.1109,0.6892,1.2009
"no_disease, sex=Female",fbs=False,0.1413,0.9028,1.2002
