antecedents,consequents,support,confidence,lift
"age=40-50, dp=mild","fbs=False, no_disease",0.1065,0.705,1.8375
"cp=atypical angina, exang=False","dp=mild, fbs=False",0.1239,0.755,1.8326
"fbs=False, no_disease, thal=normal",hr=high,0.1163,0.8843,1.8323
"cp=asymptomatic, dp=moderate",slope=flat,0.1043,0.6857,1.8286
"exang=False, no_disease, thal=normal",hr=high,0.1141,0.8824,1.8283
"cp=asymptomatic, thal=reversable defect",exang=True,0.1011,0.6691,1.8265
"chol=high, slope=flat",exang=True,0.1033,0.669,1.8264
"bp=prehyper, no_disease","dp=mild, exang=False",0.1598,0.7424,1.8263
"cp=atypical angina, hr=high","dp=mild, fbs=False",0.1022,0.752,1.8254
cp=atypical angina,"exang=False, hr=high",0.1272,0.6724,1.8248
"dp=mild, no_disease","exang=False, hr=high",0.2163,0.67,1.8184
"age=40-50, dp=mild, exang=False",no_disease,0.1076,0.8115,1.8164
"age=40-50, no_disease","exang=False, fbs=False",0.1098,0.7953,1.8155
"exang=True, slope=flat","cp=asymptomatic, fbs=False",0.1554,0.6942,1.8143
"cp=atypical angina, no_disease","dp=mild, fbs=False",0.1217,0.7467,1.8125
"dp=mild, slope=upsloping","fbs=False, hr=high",0.1011,0.6992,1.8121
"dp=severe, exang=True","cp=asymptomatic, sex=Male",0.1076,0.839,1.8119
"dp=mild, thal=normal","fbs=False, hr=high",0.1033,0.6985,1.8103
"no_disease, sex=Female","exang=False, fbs=False",0.1239,0.7917,1.8073
"fbs=False, sex=Male, unknown",exang=True,0.1022,0.662,1.8072
ca=0.0,"fbs=False, hr=high",0.137,0.6961,1.8041
"cp=atypical angina, exang=False","fbs=False, hr=high",0.1141,0.6954,1.8021
"no_disease, thal=normal",hr=high,0.1304,0.8696,1.8018
"hr=high, no_disease","dp=mild, exang=False",0.2163,0.7316,1.7997
"ca=0.0, exang=False, no_disease",hr=high,0.1076,0.8684,1.7994
"bp=prehyper, no_disease","exang=False, fbs=False",0.1696,0.7879,1.7986
"fbs=False, thal=normal","exang=False, hr=high",0.1196,0.6627,1.7983
"age=40-50, dp=mild, fbs=False",no_disease,0.1065,0.8033,1.7981
"ca=0.0, hr=high",no_disease,0.1239,0.8028,1.7971
"bp=prehyper, dp=mild","exang=False, no_disease",0.1598,0.6562,1.7969
"chol=high, exang=True",slope=flat,0.1033,0.6738,1.7967
"ca=0.0, dp=mild",hr=high,0.1054,0.8661,1.7946
"ca=0.0, fbs=False, hr=high",no_disease,0.1098,0.8016,1.7943
"age=40-50, dp=mild","exang=False, fbs=False",0.1185,0.7842,1.7902
"age=40-50, exang=False","dp=mild, fbs=False",0.1185,0.7365,1.7878
"dp=mild, exang=False, slope=upsloping",hr=high,0.1022,0.8624,1.7869
"ca=0.0, thal=normal",hr=high,0.1076,0.8609,1.7838
"dp=severe, sex=Male",slope=flat,0.1141,0.6688,1.7834
"age=40-50, exang=False, no_disease",dp=mild,0.1076,0.9,1.7806
"exang=False, fbs=False, thal=normal",no_disease,0.1141,0.7955,1.7806
"age=40-50, exang=False","fbs=False, no_disease",0.1098,0.6824,1.7786
"cp=asymptomatic, disease, sex=Male",exang=True,0.1239,0.6514,1.7784
sex=Female,"exang=False, no_disease",0.137,0.6495,1.7784
"ca=0.0, exang=False",hr=high,0.125,0.8582,1.7783
"exang=False, thal=normal","fbs=False, no_disease",0.1141,0.6818,1.777
"ca=0.0, no_disease",hr=high,0.1239,0.8571,1.7761
"fbs=False, sex=Female",no_disease,0.1413,0.7927,1.7744
"cp=asymptomatic, disease",exang=True,0.1391,0.6497,1.7738
"ca=0.0, fbs=False, no_disease",hr=high,0.1098,0.8559,1.7736
"hr=high, no_disease","exang=False, fbs=False",0.2293,0.7757,1.7709
dp=moderate,slope=flat,0.1478,0.6634,1.7691
"dp=mild, fbs=False, hr=high",no_disease,0.2087,0.7901,1.7686
dp=severe,slope=flat,0.1261,0.6629,1.7676
"fbs=False, unknown",exang=True,0.1076,0.6471,1.7665
"age=40-50, exang=False, fbs=False",no_disease,0.1098,0.7891,1.7663
"cp=atypical angina, dp=mild","fbs=False, hr=high",0.1022,0.6812,1.7653
"exang=False, no_disease, slope=upsloping",hr=high,0.1,0.8519,1.7651
"dp=moderate, sex=Male",exang=True,0.1087,0.6452,1.7613
"ca=0.0, exang=False, fbs=False",hr=high,0.1109,0.85,1.7613
"cp=atypical angina, exang=False, no_disease",dp=mild,0.1315,0.8897,1.7603
"dp=mild, exang=False, fbs=False",no_disease,0.263,0.7857,1.7588
"hr=medium, slope=flat","cp=asymptomatic, fbs=False",0.1228,0.6726,1.758
"dp=mild, fbs=False, slope=upsloping",hr=high,0.1011,0.8455,1.7518
"exang=False, fbs=False, slope=upsloping",hr=high,0.1065,0.8448,1.7505
"dp=mild, hr=high","fbs=False, no_disease",0.2087,0.6713,1.7496
"exang=False, no_disease","dp=mild, fbs=False",0.263,0.7202,1.7483
"dp=mild, fbs=False","exang=False, no_disease",0.263,0.6385,1.7483
"dp=mild, hr=high","exang=False, fbs=False",0.238,0.7657,1.7481
"dp=mild, exang=False, hr=high",no_disease,0.2163,0.7804,1.7469
"cp=atypical angina, hr=high, no_disease",dp=mild,0.1065,0.8829,1.7468
